word,machine_translation,human_translation,machine_translation_updated
bonus,ajeseku,ebun,ebun
jackpot,jackpot,ìfẹ tokaju,ìfẹ tokaju
prejudge,ṣe idajọ,ṣe ìdájọ́ sílẹ̀,ṣe ìdájọ́ sílẹ̀
rebellious,ọlọtẹ,ọlọ́tẹ̀,ọlọ́tẹ̀
vicious,buburu,le,le
cuteness,didara julọ,,didara julọ
all-around,gbogbo-ayika,,gbogbo-ayika
rifts,ìyapa,ìyapa,ìyapa
remunerate,san owo sisan,,san owo sisan
head-aches,ori-ọgbẹ,ìrora orí,ìrora orí
poised,ni imurasilẹ,,ni imurasilẹ
contrariness,ilodiwọn,ìlòdì,ìlòdì
embroiled,lowo,nira,nira
unorthodox,alaigbagbọ,aláìgbàgbọ́,aláìgbàgbọ́
upsetting,ibanuje,ìbínú,ìbínú
sap,oje,oje,oje
wart,wart,ẹ̀so,ẹ̀so
disagree,koo,kọ̀,kọ̀
chilly,tutu,tutù,tutù
absolves,idariji,dariji,dariji
contracted,isunki,súnkì,súnkì
raptureously,raptureously,ní tagbára,ní tagbára
idiocy,iwa omugo,ìwà òmùgọ̀,ìwà òmùgọ̀
pointlessly,lainidi,asán,asán
ruse,iruju,ìṣújú,ìṣújú
flagrant,asia,gbangba,gbangba
bouquet,oorun didun,òórùn dídùn,òórùn dídùn
condolence,ibanuje,,ibanuje
collapses,ṣubu,ṣubú,ṣubú
tipsy,imọran,ìhúntí,ìhúntí
holiness,iwa -mimo,,iwa -mimo
irreplaceable,ti ko ṣe rọpo,,ti ko ṣe rọpo
crusty,erupẹ,ìlẹ̀pa,ìlẹ̀pa
betrayed,fi hàn,dalẹ̀,dalẹ̀
showy,iṣafihan,àṣehàn,àṣehàn
overpayed,apọju,àsanjù,àsanjù
thumbs-up,na ọwọ soke,ku iṣẹ,ku iṣẹ
harridan,harridan,obìnrin oníwà ìpáǹle,obìnrin oníwà ìpáǹle
salute,kí,,kí
midwifery,agbẹbi,,agbẹbi
snappish,fifẹ,ní kíákíá,ní kíákíá
detainee,atimọle,ẹlẹ́wọ̀n,ẹlẹ́wọ̀n
fabricate,pa irọ,Pa irọ́,Pa irọ́
satisfactorily,ni itẹlọrun,,ni itẹlọrun
outraged,ibinu,ìbínú,ìbínú
demoralizing,irẹwẹsi,ìrẹ̀wẹ̀sì,ìrẹ̀wẹ̀sì
relegation,idasilẹ,ìrẹ̀sílẹ̀,ìrẹ̀sílẹ̀
succes,awọn aṣeyọri,aṣeyọri,aṣeyọri
hearsay,gbigbọran,àhesọ,àhesọ
two-faces,oju meji,olójú méjì,olójú méjì
well-intentioned,daradara-intentioned,oninure,oninure
skeletons,egungun,egungun,egungun
deserved,yẹ,,yẹ
crisp,agaran,rún,rún
pest,kokoro,kòkòrò,kòkòrò
agility,agility,imura giri,imura giri
buss,awọn ọkọ akero,fi ẹnukonu,fi ẹnukonu
demoralizingly,irẹwẹsi,pẹ̀lú ìrẹ̀wẹ̀sì,pẹ̀lú ìrẹ̀wẹ̀sì
watchful,ṣọra,,ṣọra
inelegant,alaigbọran,àìdára,àìdára
donkey,kẹtẹkẹtẹ,kẹ́tẹ́kẹ́tẹ́,kẹ́tẹ́kẹ́tẹ́
sin,ese,ẹ̀ṣẹ̀,ẹ̀ṣẹ̀
reckless,aibikita,áìbìkítà,áìbìkítà
hotcakes,hotcakes,awọn akara eyinbo,awọn akara eyinbo
spectacularly,iyanu,,iyanu
insightfully,ni oye,,ni oye
shunned,yago fun,yàgò fún,yàgò fún
numb,pa,pa,pa
betrays,àwọn ọ̀dàlẹ̀,àwọn ọ̀dàlẹ̀,àwọn ọ̀dàlẹ̀
perjury,ijẹri eke,ìjẹ́ẹẹ̀rí èké,ìjẹ́ẹẹ̀rí èké
deference,iteriba,,iteriba
distraughtness,ipọnju,ìpọ́njú,ìpọ́njú
grenade,grenade,àdo-olóró,àdo-olóró
deformed,dibajẹ,díbàjẹ́,díbàjẹ́
malformation,idibajẹ,ìdíbàjẹ́,ìdíbàjẹ́
infiltrators,infiltrators,àwọn ajíniwò,àwọn ajíniwò
confinement,atimọle,ìtìmọ́lé,ìtìmọ́lé
optimist,ireti,,ireti
synergistic,synergistic,jẹ àpapọ̀,jẹ àpapọ̀
aga,aga,àmì iyì,àmì iyì
recherche,atunkọ,ko  wọpọ,ko  wọpọ
boldly,igboya,pelu igboya,pelu igboya
jumble,rirọ,dàlù,dàlù
enslaves,ẹrú,ẹrú,ẹrú
irritations,híhún,ìkórìíra,ìkórìíra
vindicates,awọn idalare,dalare,dalare
puppy,ọmọ aja,,ọmọ aja
defection,idibajẹ,ìyọwọ́kúrò,ìyọwọ́kúrò
sorter,sorter,to lẹsẹsẹ,to lẹsẹsẹ
pissing,ibinujẹ,ìbínú,ìbínú
energy-saving,fifipamọ agbara,ko je agbara,ko je agbara
falls,ṣubu,ṣubú,ṣubú
merriness,aladun,,aladun
duped,doped,gbá,gbá
demented,irẹwẹsi,ṣiwèrè,ṣiwèrè
preferably,pelu,dara julọ,dara julọ
fatality,ipaniyan,ìpànìyàn,ìpànìyàn
bruising,ipalara,ìpalára,ìpalára
regent,regent,adele ọba,adele ọba
destroyed,run,run,run
slum,igboro,àbẹ́tẹ̀,àbẹ́tẹ̀
knock,kànkun,kànkùn,kànkùn
desire,ifẹ,,ifẹ
suffocation,imukuro,ìfún,ìfún
matte,matte,àgbétẹ́lẹ̀,àgbétẹ́lẹ̀
craven,craven,ojo,ojo
mayor,baálẹ̀,,baálẹ̀
empathy,ìyọ́nú,,ìyọ́nú
softer,rirọ,,rirọ
misdirection,aiṣedeede,ìṣìlọ́nà,ìṣìlọ́nà
unintentionally,lairotẹlẹ,láìròtẹ́lẹ̀,láìròtẹ́lẹ̀
aggrieved,ibinu,ìbínú,ìbínú
coursing,ikẹkọ,ìdẹdẹ,ìdẹdẹ
veritable,otitọ,lotitọ,lotitọ
peaceable,alaafia,,alaafia
unbroken,ti ko ya,,ti ko ya
ruffle,ruffle,wàhálà,wàhálà
reserve,ifiṣura,,ifiṣura
disappointingly,itiniloju,ìjákulẹ̀,ìjákulẹ̀
preventive,gbèndéke,ìdènà,ìdènà
swipe,ra,yẹ,yẹ
pique,pique,àwọn ẹ̀dá,àwọn ẹ̀dá
malicious,irira,ìríra,ìríra
mesmerizes,mesmerizes,moriwu,moriwu
overzealous,aṣeju,ìtara àpọ̀jù,ìtara àpọ̀jù
well-educated,daradara-educated,ni imọ-ẹkọ,ni imọ-ẹkọ
temper,ibinu,ìbínú,ìbínú
professional,ọjọgbọn,,ọjọgbọn
ordnance,ordnance,ohun-ìjà,ohun-ìjà
isolate,ya sọtọ,yà sọ́tọ̀,yà sọ́tọ̀
offensively,ibinu,amúnibínú,amúnibínú
tempting,danwo,,danwo
anti-proliferation,egboogi-afikun,alátakò -àfikún,alátakò -àfikún
vicar,vicar,òye alufa kan,òye alufa kan
abscess,abẹrẹ,ééwo,ééwo
job,iṣẹ,,iṣẹ
noob,noob,ojú tuntun,ojú tuntun
bane,eewọ,mọ́jèlé,mọ́jèlé
overzealously,apọju,ìtara àpọ̀jù,ìtara àpọ̀jù
polarisation,polarization,ìyapa,ìyapa
randomly,laileto,aláìlétò,aláìlétò
insolvency,aiṣedeede,àìlówó,àìlówó
mischiefs,iwa ibaje,ìwà ìbàjẹ́,ìwà ìbàjẹ́
obstruct,dena,dènà,dènà
hiding,nọmbafoonu,fi ara pamọ́,fi ara pamọ́
fissures,fissures,sán,sán
wealthy,ọlọrọ,,ọlọrọ
rants,ibinujẹ,ariwo,ariwo
giggle,rerin,,rerin
invincible,aidibajẹ,airi,airi
improvements,awọn ilọsiwaju,,awọn ilọsiwaju
inexperience,airi,àìní ìrírí,àìní ìrírí
enhances,awọn ilọsiwaju,mu dara,mu dara
organization,agbari,ikojo,ikojo
accusingly,ẹsùn,ẹ̀sùn,ẹ̀sùn
feckless,alailagbara,àìlágbára,àìlágbára
pricey,gbowolori,gbówó lórí,gbówó lórí
vermin,kokoro,kòkòrò,kòkòrò
demise,ìparun,ikú,ikú
discordance,iyapa,ìyapa,ìyapa
kitten,ọmọ ologbo,,ọmọ ologbo
franticly,ni igboya,ní ìgboyà,ní ìgboyà
unnerving,aibanujẹ,ìdàláámù,ìdàláámù
unlicensed,ti ko ni iwe -aṣẹ,àìníwè-àṣẹ,àìníwè-àṣẹ
prefer,fẹ,,fẹ
maneuverable,maneuverable,se dari,se dari
sensations,sensations,àwọn ìmúdunú,àwọn ìmúdunú
agreeableness,itẹwọgba,,itẹwọgba
launched,se igbekale,,se igbekale
hurts,dun,dùn,dùn
condescending,onirẹlẹ,onírẹ̀lẹ̀,onírẹ̀lẹ̀
pollute,ẹlẹgbin,ẹlẹ́gbin,ẹlẹ́gbin
witchcraft,ajẹ,àjẹ́,àjẹ́
forcibly,fi agbara mu,ìfagbáramú,ìfagbáramú
compactly,iwapọ,wapapọ,wapapọ
coziness,ifọkanbalẹ,,ifọkanbalẹ
legal,ofin,,ofin
protracted,pẹ,fágùn,fágùn
lithe,lithe,tirin,tirin
salacious,oloore,olóòrún-ùn,olóòrún-ùn
controversial,àríyànjiyàn,àríyànjiyàn,àríyànjiyàn
uneasily,lainidi,ìbẹ̀rùbojo,ìbẹ̀rùbojo
loo,loo,ilé-ìgbé,ilé-ìgbé
crooks,awọn ẹlẹtan,àwọn ẹlẹ́tàn,àwọn ẹlẹ́tàn
captive,igbekun,ìgbèkùn,ìgbèkùn
rider,ẹlẹṣin,,ẹlẹṣin
profane,alaimọ,aláìmọ́,aláìmọ́
irreproachable,irreproachable,lailẹgan,lailẹgan
frightful,ẹru,ẹ̀rù,ẹ̀rù
starlight,irawọ irawọ,ina irawọ,ina irawọ
agreed,gba,,gba
glory,ogo,,ogo
opinionated,ti ero,ti èrò,ti èrò
peach,eso pishi,,eso pishi
astute,ọlọgbọn,,ọlọgbọn
redemption,irapada,,irapada
encouragingly,iwuri,,iwuri
vexingly,inira,bínú,bínú
troubled,wahala,wàhálà,wàhálà
boggle,ẹlẹgbin,ẹ̀gbin,ẹ̀gbin
dissident,alatako,àtakò,àtakò
patriot,onilu,olufẹ ilu rẹ,olufẹ ilu rẹ
consecration,ìyàsímímọ́,,ìyàsímímọ́
intimate,timotimo,,timotimo
sour,ekan,ẹ̀kan,ẹ̀kan
cuplrit,agolo,ọ̀daràn,ọ̀daràn
apeshit,apeshit,ìyàlẹ́nu,ìyàlẹ́nu
erupt,erupt,ṣẹ́yọ,ṣẹ́yọ
refuses,kọ,kọ̀,kọ̀
conversant,ibaraẹnisọrọ,,ibaraẹnisọrọ
brutality,iwa ika,ìwà ìkà,ìwà ìkà
delightfully,inudidun,,inudidun
bleed,ẹjẹ,sẹ̀jẹ̀,sẹ̀jẹ̀
doddering,doddering,gbọ̀n,gbọ̀n
consolable,itunu,se tuninu,se tuninu
die-hard,kú-lile,ìgbìyànjú aláìlẹ́gbẹ́,ìgbìyànjú aláìlẹ́gbẹ́
disappear,farasin,farasin,farasin
grieving,ibinujẹ,ìbìnújẹ́,ìbìnújẹ́
miscellaneous,orisirisi,orísìírísìí,orísìírísìí
usurped,ti gba,fipágbà,fipágbà
susceptible,ni ifaragba,aláìlágbára,aláìlágbára
veteran,ogbologbo,,ogbologbo
pariah,pariah,ẹni àtanù,ẹni àtanù
barrier,idankan,ìdènà,ìdènà
obscene,ohun aibikita,ohun tí kò bá ojú mu,ohun tí kò bá ojú mu
abundance,opo,ọ̀pọ̀,ọ̀pọ̀
demonized,ẹmi eṣu,ti sọ dàǹjọ̀ọ̀nú,ti sọ dàǹjọ̀ọ̀nú
restlessness,isinmi,àìsinmi,àìsinmi
ached,irora,ìrora,ìrora
calm,tunu,idakẹ,idakẹ
spaniel,spaniel,àmì ìjẹ́kpípé,àmì ìjẹ́kpípé
regressive,ifaseyin,,ifaseyin
oppress,aninilara,nilára,nilára
escapade,escapade,yọ kúrò,yọ kúrò
bold,igboya,ni igboya,ni igboya
distinction,iyatọ,,iyatọ
hardball,igilile lile,ìwà líle,ìwà líle
knell,knell,ìró-agogo,ìró-agogo
dissuade,yiyọ kuro,bẹ̀ láti má ṣe nǹkan,bẹ̀ láti má ṣe nǹkan
embolden,ìgboyà,,ìgboyà
detect,ri,,ri
detrimental,ipalara,nìpalára,nìpalára
unrest,rogbodiyan,rògbòdìyàn,rògbòdìyàn
carnal,ti ara,ara,ara
loony,loony,wèrè,wèrè
focus,idojukọ,,idojukọ
entertain,ṣe ere idaraya,,ṣe ere idaraya
tard,pẹpẹ,àìníyè,àìníyè
picturesque,alaworan,,alaworan
aggressor,onijagidijagan,oní bínú,oní bínú
infrequently,loorekoore,àìjóórèkóórè,àìjóórèkóórè
disavow,yọkuro,kọ̀ sílẹ̀,kọ̀ sílẹ̀
compatible,ibaramu,,ibaramu
whips,pàṣán,ọrẹ́,ọrẹ́
coward,ojo,ojo,ojo
spitefulness,iwa -ika,ìkórìíra,ìkórìíra
scrambled,scrambled,ìjàkadì,ìjàkadì
purely,odasaka,,odasaka
stallion,ẹṣin,,ẹṣin
demonstration,ifihan,ìfihàn,ìfihàn
weakness,ailera,àìlágbára,àìlágbára
kindliness,inurere,,inurere
advantageous,anfani,ṣe anfani,ṣe anfani
anti,egboogi,egboogi,egboogi
spectacle,iworan,ìwòran,ìwòran
invidious,invidious,ìlara,ìlara
untrue,kii ṣe otitọ,àìjóòtọ́,àìjóòtọ́
sueing,gbingbin,pé lẹ́jọ́,pé lẹ́jọ́
threatens,deruba,deruba,deruba
belittled,alaigbọran,aláìgbọràn,aláìgbọràn
humble,onirẹlẹ,onírẹ́lẹ̀,onírẹ́lẹ̀
paralysis,paralysis,àìlágbára,àìlágbára
molest,iwa ibalopọ,yọlẹ́nu,yọlẹ́nu
dictator,apanirun,apàṣẹ,apàṣẹ
bereaving,ṣọfọ,ṣọ̀fọ̀,ṣọ̀fọ̀
blaspheme,ọrọ odi,ọ̀rọ̀ òdì,ọ̀rọ̀ òdì
amiability,ifarada,niwa ọrẹ,niwa ọrẹ
whip,okùn,ọrẹ́,ọrẹ́
afraid,bẹru,bẹ̀rù,bẹ̀rù
impairment,idibajẹ,ìdíbàjẹ́,ìdíbàjẹ́
unfounded,alaimoye,àìnídì,àìnídì
hearing,gbigbọ,gbígbọ́,gbígbọ́
heroics,akọni,,akọni
satanic,sataniki,ti-èṣù,ti-èṣù
disguises,disguises,díbọ́n,díbọ́n
fecilitous,fecilitous,tìdúpẹ́,tìdúpẹ́
perpetrators,awọn ẹlẹṣẹ,àwọn ẹlẹ́ṣẹ̀,àwọn ẹlẹ́ṣẹ̀
uphill,oke,,oke
salary,owo osu,,owo osu
cream,ipara,,ipara
secluded,ti ya sọtọ,gbépamọ́,gbépamọ́
manure,maalu,ajílẹ̀,ajílẹ̀
descriptive,ijuwe,,ijuwe
anti-social,egboogi-awujo,alátakò-àwùjọ,alátakò-àwùjọ
prudence,ọgbọn,ọlọgbọn,ọlọgbọn
enraged,binu,Bínú,Bínú
providing,pese,,pese
negotiate,duna,,duna
hippie,hippie,oníwàásù,oníwàásù
masterful,ọlọgbọn,,ọlọgbọn
easiness,irọrun,,irọrun
mortal,ẹni kíkú,eni-ikú,eni-ikú
enticing,tàn,,tàn
cheapen,din owo,dínwó,dínwó
impeach,impeach,yọ,yọ
asylum,ibi aabo,ibi-ààbò,ibi-ààbò
congested,congested,dí,dí
celebrating,ayẹyẹ,n ṣe ayẹyẹ,n ṣe ayẹyẹ
drooping,sisọ silẹ,àárẹ̀,àárẹ̀
stuttered,stuttered,kílòlò,kílòlò
pertinent,ti o yẹ,,ti o yẹ
pedestrian,ẹlẹsẹ,ẹlẹ́sẹ̀,ẹlẹ́sẹ̀
opposed,atako,takò,takò
acrimoniously,acrimoniously,lọ́nà tí ó korò,lọ́nà tí ó korò
varicose,varicose,inú-òpó-agbẹ́jẹ̀wọlé,inú-òpó-agbẹ́jẹ̀wọlé
disparity,iyapa,àìdọ́gba,àìdọ́gba
flu,aisan,àìsàn,àìsàn
comfy,itura,,itura
confess,jẹwọ,jẹ́wọ́,jẹ́wọ́
heckle,hekki,ṣe yẹ̀yẹ́,ṣe yẹ̀yẹ́
better-than-expected,dara julọ ju ti a ti ṣe yẹ lọ,dara  ju bi a ti lero lọ,dara  ju bi a ti lero lọ
scream,paruwo,pariwo,pariwo
counsel,imoran,,imoran
esthetic,esthetic,nifẹ ẹwà,nifẹ ẹwà
hamper,idiwo,ìdíwọ́,ìdíwọ́
noncompliance,aibikita,àìtẹlé,àìtẹlé
acerbate,acerbate,àìdùnnú,àìdùnnú
undaunted,alailagbara,laibẹru,laibẹru
successes,awọn aṣeyọri,,awọn aṣeyọri
distracts,distracts,dí lọ́wọ́,dí lọ́wọ́
ruining,iparun,ìparun,ìparun
absurdly,absurdly,ṣàsèjì,ṣàsèjì
loathsomely,loathsomely,ìríra,ìríra
unmoved,ti ko ni i,àìyẹ̀,àìyẹ̀
hidden,farasin,farasin,farasin
gracefully,laanu,didara,didara
leeches,leeches,eṣuṣu,eṣuṣu
confidence,igbekele,,igbekele
erotic,itagiri,,itagiri
depraved,ibajẹ,ti bàjẹ́,ti bàjẹ́
unthinkably,unthinkably,láìròtẹ́lẹ̀,láìròtẹ́lẹ̀
entice,tàn,,tàn
exigent,exigent,àfiyèsí,àfiyèsí
calculating,iṣiro,ìṣirò,ìṣirò
impair,ailera,àìlera,àìlera
bride,iyawo,,iyawo
strange,ajeji,àjèjì,àjèjì
swelled,wú,wú,wú
retardedness,idaduro,ìdádúró,ìdádúró
cider,cider,otí kíkan,otí kíkan
adaptable,adaptable,mu yẹ,mu yẹ
swiftness,yiyara,,yiyara
unattached,ti ko ni nkan,àìsopọ̀,àìsopọ̀
bumps,bumps,ìjálù,ìjálù
lousy,alaigbọran,òtòṣì,òtòṣì
outwit,outwit,bori,bori
circumvention,àyípadà,àsálà,àsálà
plunderer,afinipaya,ẹni tó kó ìkógun,ẹni tó kó ìkógun
horrified,ibanuje,òbùrẹwà,òbùrẹwà
disquiet,aibanujẹ,yọ kúrú,yọ kúrú
jaunty,oore,,oore
spoon-feed,sibi-kikọ,rán lọ́wọ́,rán lọ́wọ́
unavoidably,laiṣe,aláìlèyẹ̀sílẹ̀,aláìlèyẹ̀sílẹ̀
well-bred,daradara-sin,ni kikọ rere,ni kikọ rere
impracticable,impracticable,àìṣeéṣe,àìṣeéṣe
beneficial,anfani,,anfani
conspiracy,rikisi,rìkísí,rìkísí
loafer,loafer,ọ̀lẹ,ọ̀lẹ
wily,wily,ọ̀mọ̀wé,ọ̀mọ̀wé
civil,ilu,,ilu
stupor,omugo,òmùgọ̀,òmùgọ̀
ecstasy,igbadun,,igbadun
cheered,yọ,,yọ
admirably,admirably,niyin,niyin
harvest,ikore,,ikore
backward,sẹhin,sẹ́hìn,sẹ́hìn
flatulence,ifun titobi,ìgúfẹ̀,ìgúfẹ̀
morgue,ile igboku,ilé-ìgbókùsí,ilé-ìgbókùsí
convent,convent,apejọ,apejọ
grants,igbeowosile,,igbeowosile
unimaginably,lairotẹlẹ,àìlérò,àìlérò
drawback,drawback,ìfàsẹ́yìn,ìfàsẹ́yìn
justifiably,lare,,lare
pilot,awaokoofurufu,,awaokoofurufu
sleazy,alaigbọran,ayédèrú,ayédèrú
gawky,gawky,òmùgọ̀,òmùgọ̀
outsider,ode,àjèjì,àjèjì
stall,da duro,ibùjẹ̀ ẹran,ibùjẹ̀ ẹran
nagging,ríru,ìdàláàmú,ìdàláàmú
luxuriously,adun,,adun
significant,pataki,,pataki
grainy,ọkà,irúgbìn wooro,irúgbìn wooro
baseless,ti ko ni ipilẹ,tí kò ní ìpìlẹ̀,tí kò ní ìpìlẹ̀
dexterous,alaigbọran,lọgbọn,lọgbọn
sloth,ọlẹ,ọ̀lẹ,ọ̀lẹ
detestable,irira,ìríra,ìríra
emptiness,ofo,òfo,òfo
practise,adaṣe,daṣe,daṣe
frenzy,aṣiwere,aṣiwèrè,aṣiwèrè
hardliner,hardliner,olórí kunkun,olórí kunkun
intefere,intefere,dá sí,dá sí
hindering,idiwo,ìdíwọ́,ìdíwọ́
sisterhood,arabinrin,,arabinrin
disappeared,nù,nù,nù
deceiver,ẹlẹtan,ẹlẹ́tàn,ẹlẹ́tàn
sensibly,ni oye,,ni oye
influential,gbajugbaja,,gbajugbaja
blinded,afọju,fọ́jú,fọ́jú
trickery,arekereke,ẹ̀tàn,ẹ̀tàn
impress,iwunilori,wunilori,wunilori
joker,awada,aláwàdà,aláwàdà
denunciation,ìdálẹ́bi,ìdálẹ́bi,ìdálẹ́bi
dilapidated,dipidated,ti parun,ti parun
adapt,mu,mu yẹ,mu yẹ
naïve,rara,aláìmọ̀kan,aláìmọ̀kan
quell,gbó,tẹmọ́lẹ̀,tẹmọ́lẹ̀
pervert,agabagebe,oníwà ìbàjẹ́,oníwà ìbàjẹ́
drag,fa,fà,fà
junkyard,ibi idana,ibi ẹ̀gbin,ibi ẹ̀gbin
avariciously,avariciously,ìwọ̀ra owó,ìwọ̀ra owó
marry,fẹ,,fẹ
dawn,owurọ,,owurọ
staring,ranju,tẹjúmọ́,tẹjúmọ́
fooled,aṣiwere,ìṣiwèrè,ìṣiwèrè
misses,npadanu,pàdánù,pàdánù
jubilate,jubilate,yọ,yọ
laconic,laconic,ṣókí,ṣókí
spoils,ikogun,ìkógun,ìkógun
perturbation,idamu,ìdàmú,ìdàmú
gleeful,igbadun,ayọ,ayọ
elation,elation,ayọ,ayọ
slothful,ọlẹ,ọ̀lẹ,ọ̀lẹ
stable,idurosinsin,,idurosinsin
hunter,ọdẹ,ọdẹ,ọdẹ
depreciate,dinku,dínkù,dínkù
uneventful,uneventful,àìníṣẹ́lẹ̀,àìníṣẹ́lẹ̀
chilling,gbigbọn,gbigbọn,gbigbọn
recast,tun pada,,tun pada
unencumbered,unencumbered,ailaniyan,ailaniyan
reclamation,atunṣe,,atunṣe
salutary,ikini,,ikini
pure,funfun,,funfun
expatriate,ọmọ ilu okeere,àtìpó,àtìpó
warrior,jagunjagun,,jagunjagun
lighthearted,oninuure,,oninuure
virtuous,oniwa rere,,oniwa rere
stationary,adaduro,ìdúróṣinṣin,ìdúróṣinṣin
complexed,eka,lọ́lù,lọ́lù
overemphasize,apọju,àpọ̀jù,àpọ̀jù
incoherent,aiṣedeede,àìlọ́gbọ́n,àìlọ́gbọ́n
celebrate,ayeye,ṣe ayẹyẹ,ṣe ayẹyẹ
lecher,lecher,oníṣekúṣe,oníṣekúṣe
looms,looms,rúgbó,rúgbó
torment,ijiya,ìdálóró,ìdálóró
heel,igigirisẹ,gìgìrísẹ̀,gìgìrísẹ̀
dignify,ọlá,,ọlá
screwy,dabaru,dabarú,dabarú
brainy,ọpọlọ,,ọpọlọ
concern,ibakcdun,ìbákẹ́dùn,ìbákẹ́dùn
foulness,ẹgbin,ẹ̀gbin,ẹ̀gbin
punctuality,àsìkò,,àsìkò
stinks,inrùn,rùn,rùn
puffy,puffy,rú-túú,rú-túú
congenial,congenial,didaraya,didaraya
disputable,ariyanjiyan,àríyànjiyàn,àríyànjiyàn
crazy,aṣiwere,aṣiwèrè,aṣiwèrè
bombastic,ìbúgbàù,ìbúgbàù,ìbúgbàù
falsify,ṣe iro,ṣe irọ́,ṣe irọ́
so-cal,bẹ-cal,bẹ-cal,bẹ-cal
thriving,ti ndagba,,ti ndagba
lazy,ọlẹ,ọ̀lẹ,ọ̀lẹ
reluctance,alaigbọran,ìlọ́ra,ìlọ́ra
threaten,halẹ,halẹ̀,halẹ̀
meddle,dapo,dá sí,dá sí
belittling,alaigbọran,fi ojú kéré,fi ojú kéré
admonisher,olugbaniran,olùgbani ní ìmọ̀ràn,olùgbani ní ìmọ̀ràn
erudite,erudite,ọmọwe,ọmọwe
scandals,scandals,ìbanilọ́kọjẹ́,ìbanilọ́kọjẹ́
spurn,ẹgan,ẹ̀gàn,ẹ̀gàn
clearance,kiliaransi,,kiliaransi
injure,farapa,farapa,farapa
corrosion,ipata,ìpátá,ìpátá
disconcert,disconcert,dàrú,dàrú
hestitant,hestitant,ṣiyèméjì,ṣiyèméjì
debauchery,iwa ibaje,ìwà ìbàjẹ́,ìwà ìbàjẹ́
complement,iranlowo,Ìkíni ibuyin,Ìkíni ibuyin
greatness,titobi,,titobi
modest,iwọntunwọnsi,,iwọntunwọnsi
heinous,buburu,búburú,búburú
expunge,expunge,parẹ́,parẹ́
dupe,dupe,gbá,gbá
needful,alaini,kòlèṣàìní,kòlèṣàìní
cataract,cataract,ẹlẹ́yọ̀-fọ́jú,ẹlẹ́yọ̀-fọ́jú
distresses,awọn ipọnju,àwọn ìpọ́njú,àwọn ìpọ́njú
palsy,palsy,àrun-ẹ̀gbà,àrun-ẹ̀gbà
perceptible,ni oye,,ni oye
counter-attack,counter-kolu,,counter-kolu
polluter,ẹlẹgbin,ẹlẹ́gbin,ẹlẹ́gbin
fearlessly,laibẹru,,laibẹru
cannibal,ẹranko,ajẹ̀nìyàn,ajẹ̀nìyàn
infernal,infernal,àfonífojì ikú,àfonífojì ikú
hardliners,awọn alakikanju,àwọn olórí kunkun,àwọn olórí kunkun
august,Oṣu Kẹjọ,,Oṣu Kẹjọ
delectable,alafẹfẹ,daradara,daradara
gentle,Onírẹlẹ,,Onírẹlẹ
tricky,ẹtan,ẹ̀tàn,ẹ̀tàn
dismally,dismally,àìláyọ̀,àìláyọ̀
commute,commute,rin,rin
prblms,prblms,prblms,prblms
foreboding,foreboding,ìmọ̀lára ibi,ìmọ̀lára ibi
array,orun,iwọṣọ,iwọṣọ
disallowed,ko gba laaye,àìfààyègbà,àìfààyègbà
lush,ọti,ọ̀mùtí,ọ̀mùtí
geriatric,geriatric,ti arúgbó,ti arúgbó
king,ọba,,ọba
dejects,dejects,ìbànújẹ́,ìbànújẹ́
tolerate,farada,faradà,faradà
hurtful,ipalara,ìpalára,ìpalára
drunk,mu yó,mu yó,mu yó
advantage,anfani,,anfani
imminently,laipẹ,láìpẹ́,láìpẹ́
expropriation,imukuro,gbígbésẹ̀ lé ẹ̀tọ́ ẹni,gbígbésẹ̀ lé ẹ̀tọ́ ẹni
violence,iwa -ipa,ìwà -ipá,ìwà -ipá
constructive,onitumọ,,onitumọ
smuttiest,ti o dun julọ,tí ó dùn jùlọ,tí ó dùn jùlọ
garnet,garnet,òkúta pupa mimọ,òkúta pupa mimọ
burden,ẹrù,ẹrù,ẹrù
exploiting,ilokulo,ìlòkulò,ìlòkulò
vendetta,vendetta,ojú-ogun,ojú-ogun
suing,ẹsun,pè lẹ́jọ́,pè lẹ́jọ́
masochism,masochism,ibálópò-oníbàwí,ibálópò-oníbàwí
busted,busted,bàjẹ́,bàjẹ́
disengagement,iyapa,ìyapa,ìyapa
dauntless,dauntless,laifoiya,laifoiya
interment,idawọle,ìsìnkú,ìsìnkú
incomprehensible,airi,àìlóye,àìlóye
mangling,mangling,ṣàtúnṣe,ṣàtúnṣe
lunacy,aṣiwere,wèrè,wèrè
misaligns,misaligns,àìṣedéédé,àìṣedéédé
